h1,h2,iteration,learning_rate,sigmoid_testError,tanh_testError
3,2,1500,0.031,0.366348412,1.967754614
3,2,1500,0.041,0.890129797,1.999675203
3,2,1500,0.051,0.358598308,1.999957275
3,2,1500,0.061,0.352633997,1.999985858
3,2,1500,0.071,0.353174865,1.999999128
3,2,1500,0.081,0.369594044,1.999999881
3,2,1500,0.091,0.352712054,1.999999984
3,2,1500,0.101,0.890463177,1.999998617
3,2,2000,0.001,0.589907057,0.376412198
3,2,2000,0.011,0.375643981,0.890472107
3,2,2000,0.021,0.284005752,0.875337964
3,2,2000,0.031,0.360885879,1.995773555
3,2,2000,0.041,0.364756452,1.999839413
3,2,2000,0.051,0.360303903,1.999849675
3,2,2000,0.061,0.352245287,1.999978835
3,2,2000,0.071,0.354696557,1.999999101
3,2,2000,0.081,0.890542113,1.99999988
3,2,2000,0.091,0.346278069,1.999999984
3,2,2000,0.101,0.890463175,1.999998538
3,2,3000,0.001,0.510984998,0.357270743
3,2,3000,0.011,0.294915457,0.890469085
3,2,3000,0.021,0.240899144,0.875338958
3,2,3000,0.031,0.333772057,1.998027928
3,2,3000,0.041,0.359771922,1.999079402
3,2,3000,0.051,0.357710554,1.999989783
3,2,3000,0.061,0.356459272,1.999999737
3,2,3000,0.071,0.349132625,1.999999043
3,2,3000,0.081,0.890456602,1.999999879
3,2,3000,0.091,0.227443563,1.999999984
3,2,3000,0.101,0.890463172,1.999998346
3,2,4000,0.001,0.472834578,0.35538109
3,2,4000,0.011,0.255679295,0.890467559
3,2,4000,0.021,0.230552512,0.875338891
3,2,4000,0.031,0.357070383,1.987979195
3,2,4000,0.041,0.359675788,1.996723522
3,2,4000,0.051,0.357304354,1.999987281
3,2,4000,0.061,0.220071826,1.999999734
3,2,4000,0.071,0.215660756,1.999998977
3,2,4000,0.081,0.890447944,1.999999878
3,2,4000,0.091,0.230154773,1.999999984
3,2,4000,0.101,0.890463169,1.999998089
3,2,5000,0.001,0.450888908,0.354494267
3,2,5000,0.011,0.24244569,0.890466638
3,2,5000,0.021,0.223715813,0.875338819
3,2,5000,0.031,0.334172191,1.995918509
3,2,5000,0.041,0.354833663,1.99939499
3,2,5000,0.051,0.341823643,1.999982646
3,2,5000,0.061,0.206667272,1.999999732
3,2,5000,0.071,0.205873952,1.999998901
3,2,5000,0.081,0.782486006,1.999999877
3,2,5000,0.091,0.242565714,1.999999984
3,2,5000,0.101,0.890463166,1.999997729
3,3,500,0.001,0.899330888,0.372243624
3,3,500,0.011,0.299024076,0.890452621
3,3,500,0.021,0.297826838,1.969931059
3,3,500,0.031,0.408283539,1.999928029
3,3,500,0.041,0.358659997,1.999971739
3,3,500,0.051,0.357777074,1.999996628
3,3,500,0.061,0.400264204,1.999996699
3,3,500,0.071,0.890462423,1.999999999
3,3,500,0.081,0.890514465,1.999999994
3,3,500,0.091,0.380043217,1.999999819
3,3,500,0.101,0.890530855,3.99994492
3,3,800,0.001,0.840403265,0.370216709
3,3,800,0.011,0.215291717,0.890450904
3,3,800,0.021,0.364658583,0.878747768
3,3,800,0.031,0.334981831,1.999831065
3,3,800,0.041,0.355202774,1.999965523
3,3,800,0.051,0.355015036,1.999996425
3,3,800,0.061,0.373157588,1.999996397
3,3,800,0.071,0.378781065,1.999999999
3,3,800,0.081,0.890493719,1.999999994
3,3,800,0.091,0.353235841,1.999999817
3,3,800,0.101,0.890493852,2
3,3,1000,0.001,0.790725735,0.374102526
3,3,1000,0.011,0.161905611,0.890449392
3,3,1000,0.021,0.254183435,0.87619229
3,3,1000,0.031,0.198046601,1.993779865
3,3,1000,0.041,0.354559691,1.999959437
3,3,1000,0.051,0.35389656,1.999996275
3,3,1000,0.061,0.890517007,1.999996163
3,3,1000,0.071,0.369050267,1.999999999
3,3,1000,0.081,0.890488342,1.999999994
3,3,1000,0.091,0.893538465,1.999999815
3,3,1000,0.101,0.890486372,2
3,3,1500,0.001,0.628990613,0.181921411
3,3,1500,0.011,0.109718678,0.890443112
3,3,1500,0.021,0.148268234,0.876148608
3,3,1500,0.031,0.119468762,1.999727576
3,3,1500,0.041,0.161150474,1.999923723
3,3,1500,0.051,0.16619312,1.999995836
3,3,1500,0.061,0.890488837,1.999995414
3,3,1500,0.071,0.362295008,1.999999999
3,3,1500,0.081,0.890482069,1.999999994
3,3,1500,0.091,0.890473907,1.99999981
3,3,1500,0.101,0.89047826,2
3,3,2000,0.001,0.494091159,0.206023443
3,3,2000,0.011,0.108885889,0.890425355
3,3,2000,0.021,0.133755803,0.876160724
3,3,2000,0.031,0.128617994,1.99986456
3,3,2000,0.041,0.127593092,1.999691318
3,3,2000,0.051,0.102991327,1.999995276
3,3,2000,0.061,0.890480333,1.999994296
3,3,2000,0.071,0.359804069,1.999999999
3,3,2000,0.081,0.890447444,1.999999994
3,3,2000,0.091,0.890464503,1.999999805
3,3,2000,0.101,0.890474386,2
3,3,3000,0.001,0.391161368,0.14256513
3,3,3000,0.011,0.119135366,0.890461162
3,3,3000,0.021,0.127745459,0.876187046
3,3,3000,0.031,0.129726832,1.999980018
3,3,3000,0.041,0.134839238,1.999868511
3,3,3000,0.051,0.164407228,1.999993509
3,3,3000,0.061,0.890473661,1.999988793
3,3,3000,0.071,0.357500236,1.999999999
3,3,3000,0.081,0.890462955,1.999999994
3,3,3000,0.091,0.890448456,1.999999794
3,3,3000,0.101,0.890462935,2
3,3,4000,0.001,0.342005114,0.135115473
3,3,4000,0.011,0.125334241,0.890461036
3,3,4000,0.021,0.131459539,0.876214955
3,3,4000,0.031,0.131332652,1.999969429
